municipio,total_vitima,total,PIB,ano
AMERICANA,82.0,487.0,11332408.167891864,2018
ANÁPOLIS,333.0,256.0,14238732.23810623,2018
APARECIDA DE GOIÂNIA,458.0,322.0,13265874.717841195,2018
ARACAJU,523.0,10.0,17276300.78655998,2018
ARAUCÁRIA,71.0,0.0,16410202.111197585,2018
BARUERI,108.0,349.0,50566643.98724013,2018
BAURU,121.0,1124.0,14642060.756236803,2018
BELO HORIZONTE,1200.0,0.0,91957091.80243829,2018
BELÉM,1289.0,24.0,31484849.36552069,2018
BETIM,328.0,0.0,25483677.164408244,2018
BLUMENAU,143.0,205.0,16958783.360075768,2018
BRASÍLIA,1899.0,43.0,254817204.6923978,2018
CABO FRIO,285.0,236.0,10970087.258070083,2018
CAJAMAR,40.0,106.0,16970110.948757622,2018
CAMAÇARI,292.0,157.0,23822597.74448651,2018
CAMPINAS,597.0,1598.0,61397262.530791216,2018
CAMPO GRANDE,858.0,3842.0,29177495.778679855,2018
CAMPOS DOS GOYTACAZES,738.0,432.0,32313154.232139155,2018
CANOAS,326.0,117.0,19177607.004041314,2018
CASCAVEL,279.0,7.0,12243459.536433231,2018
CAXIAS DO SUL,376.0,138.0,24678914.508251872,2018
CONTAGEM,536.0,0.0,27731702.597642496,2018
COTIA,88.0,606.0,12534568.974865224,2018
CUBATÃO,148.0,196.0,13183238.550069606,2018
CUIABÁ,448.0,122.0,23705265.8784624,2018
CURITIBA,726.0,0.0,87151950.10221176,2018
DIADEMA,149.0,503.0,14671971.22234233,2018
DUQUE DE CAXIAS,1057.0,673.0,41595844.677341245,2018
EMBU DAS ARTES,121.0,260.0,13248193.380242107,2018
FEIRA DE SANTANA,651.0,211.0,14683079.87216766,2018
FLORIANÓPOLIS,292.0,364.0,21059561.07553297,2018
FORTALEZA,2642.0,0.0,67024088.20352243,2018
FOZ DO IGUAÇU,196.0,0.0,14675965.399004012,2018
GOIÂNIA,1051.0,895.0,49364257.87744475,2018
GRAVATAÍ,250.0,63.0,11964051.908849023,2018
GUARULHOS,529.0,1011.0,61325724.489325054,2018
HORTOLÂNDIA,96.0,407.0,13116393.020012505,2018
ILHABELA,21.0,46.0,14401224.599086715,2018
INDAIATUBA,66.0,269.0,15596305.246084623,2018
IPATINGA,104.0,0.0,11435803.160547715,2018
IPOJUCA,99.0,60.0,11570549.166185187,2018
ITAJAÍ,140.0,103.0,25413431.728803746,2018
ITAPEVI,97.0,468.0,12172060.618250782,2018
JABOATÃO DOS GUARARAPES,405.0,336.0,13359675.416073661,2018
JACAREÍ,119.0,443.0,12705392.676665295,2018
JAGUARIÚNA,21.0,102.0,11529843.917345516,2018
JOINVILLE,339.0,309.0,30785682.00406755,2018
JOÃO PESSOA,760.0,173.0,20036726.171002503,2018
JUIZ DE FORA,257.0,0.0,16923043.905048054,2018
JUNDIAÍ,165.0,483.0,43632890.535630174,2018
LIMEIRA,81.0,500.0,13192024.796066554,2018
LONDRINA,176.0,0.0,19954156.730417814,2018
LOUVEIRA,11.0,46.0,10963451.71876094,2018
MACAPÁ,422.0,677.0,10949648.924256302,2018
MACAÉ,305.0,129.0,15405621.626165831,2018
MACEIÓ,750.0,821.0,22400312.90919695,2018
MANAUS,1470.0,3103.0,78192321.27416219,2018
MARICÁ,143.0,99.0,26982458.631235346,2018
MARINGÁ,117.0,0.0,18532976.70486945,2018
MAUÁ,132.0,532.0,15287482.9182855,2018
MOGI DAS CRUZES,203.0,997.0,15386499.31268343,2018
NATAL,654.0,131.0,23803672.758352797,2018
NITERÓI,423.0,835.0,40356678.93721531,2018
NOVA IGUAÇU,949.0,401.0,16818602.729106102,2018
OSASCO,312.0,894.0,76609046.34548678,2018
PARAUAPEBAS,201.0,47.0,15995450.404272772,2018
PAULÍNIA,34.0,155.0,32690878.4628658,2018
PETRÓPOLIS,221.0,813.0,12672637.285271032,2018
PIRACICABA,206.0,793.0,26421071.959898468,2018
PONTA GROSSA,102.0,0.0,15054022.271750504,2018
PORTO ALEGRE,1518.0,1316.0,77134613.18112601,2018
PORTO VELHO,603.0,1718.0,16647157.596165422,2018
RECIFE,813.0,1240.0,52401487.30226116,2018
RIBEIRÃO PRETO,318.0,788.0,34327543.84263387,2018
RIO DE JANEIRO,7355.0,5612.0,364052058.23164576,2018
RONDONÓPOLIS,199.0,291.0,11223535.99852127,2018
SALVADOR,1643.0,742.0,63526092.48671211,2018
SANTO ANDRÉ,232.0,718.0,28994685.62219746,2018
SANTOS,276.0,1194.0,22476976.429883093,2018
SERRA,553.0,0.0,23118447.888868403,2018
SOROCABA,297.0,3587.0,35015188.39292322,2018
SUMARÉ,117.0,247.0,14438898.027395794,2018
SUZANO,140.0,363.0,11147866.005019143,2018
SÃO BERNARDO DO CAMPO,308.0,1154.0,50568693.33493476,2018
SÃO CAETANO DO SUL,23.0,95.0,13440728.405574689,2018
SÃO CARLOS,114.0,584.0,11173000.339010164,2018
SÃO GONÇALO,926.0,531.0,18501295.972637028,2018
SÃO JOSÉ DO RIO PRETO,284.0,2178.0,17542485.089928485,2018
SÃO JOSÉ DOS CAMPOS,343.0,792.0,39697500.50425611,2018
SÃO JOSÉ DOS PINHAIS,188.0,0.0,24104946.307021916,2018
SÃO LUÍS,591.0,983.0,33605800.980176896,2018
SÃO PAULO,4271.0,13735.0,714683362.4627568,2018
TAUBATÉ,162.0,434.0,17267226.098627284,2018
TERESINA,872.0,0.0,20961471.71710455,2018
TRÊS LAGOAS,118.0,169.0,11545054.136998102,2018
UBERABA,147.0,0.0,14708608.130016442,2018
UBERLÂNDIA,319.0,0.0,37442790.97609453,2018
VILA VELHA,488.0,0.0,12124129.135659186,2018
VITÓRIA,337.0,0.0,26380111.446938343,2018
VOLTA REDONDA,260.0,232.0,13764889.455408113,2018
