municipio,total_vitima,total,PIB,ano
AMERICANA,78.0,470.0,11950333.162026359,2019
ANÁPOLIS,291.0,335.0,14738302.154315896,2019
APARECIDA DE GOIÂNIA,363.0,465.0,14370793.916900586,2019
ARACAJU,496.0,328.0,17534512.574220907,2019
ARAUCÁRIA,6.0,416.0,18704461.292356722,2019
BARUERI,94.0,402.0,52820507.83980502,2019
BAURU,166.0,1700.0,15324591.28734901,2019
BELO HORIZONTE,1157.0,0.0,97205324.54430337,2019
BELÉM,848.0,919.0,32405322.901894543,2019
BETIM,269.0,0.0,28066247.842404373,2019
BLUMENAU,151.0,282.0,17294178.550121713,2019
BRASÍLIA,1891.0,26.0,273613711.4765501,2019
CABO FRIO,339.0,243.0,11523592.049658626,2019
CAJAMAR,57.0,112.0,19427569.555842213,2019
CAMAÇARI,300.0,100.0,26244432.85432461,2019
CAMPINAS,569.0,1717.0,65874912.95611939,2019
CAMPO GRANDE,845.0,3717.0,30234895.828506976,2019
CAMPOS DOS GOYTACAZES,602.0,601.0,29097630.748964835,2019
CANOAS,280.0,303.0,20630280.140789777,2019
CASCAVEL,109.0,951.0,12602357.526258709,2019
CAXIAS DO SUL,337.0,170.0,27013569.549470223,2019
CONTAGEM,380.0,0.0,30441139.662536573,2019
COTIA,88.0,536.0,13365734.113895454,2019
CUBATÃO,117.0,274.0,15046346.604074223,2019
CUIABÁ,382.0,749.0,24623843.141446743,2019
CURITIBA,55.0,6274.0,96088148.8930441,2019
DIADEMA,126.0,547.0,15301322.317324301,2019
DUQUE DE CAXIAS,915.0,760.0,45332366.15603099,2019
EMBU DAS ARTES,118.0,253.0,14726180.5873582,2019
FEIRA DE SANTANA,660.0,196.0,14898191.624662144,2019
FLORIANÓPOLIS,298.0,885.0,21963927.873128038,2019
FORTALEZA,1556.0,0.0,67412733.42303419,2019
FOZ DO IGUAÇU,54.0,1226.0,15776557.170838619,2019
GOIÂNIA,871.0,893.0,52914393.60502873,2019
GRAVATAÍ,248.0,122.0,12396458.365342997,2019
GUARULHOS,453.0,834.0,65165261.62058194,2019
HORTOLÂNDIA,108.0,430.0,14730641.601498384,2019
ILHABELA,18.0,49.0,14967867.135005217,2019
INDAIATUBA,68.0,151.0,16730487.268306024,2019
IPATINGA,106.0,0.0,11831119.015457062,2019
IPOJUCA,99.0,72.0,12718762.304060359,2019
ITAJAÍ,153.0,345.0,28215220.15139713,2019
ITAPEVI,85.0,270.0,12045014.64585247,2019
JABOATÃO DOS GUARARAPES,653.0,406.0,13870739.476847034,2019
JACAREÍ,169.0,490.0,13361647.833335858,2019
JAGUARIÚNA,28.0,77.0,12348795.526237871,2019
JOINVILLE,276.0,677.0,34528619.18313638,2019
JOÃO PESSOA,643.0,60.0,20846769.678103685,2019
JUIZ DE FORA,269.0,0.0,18695464.852471583,2019
JUNDIAÍ,166.0,480.0,46952323.247026585,2019
LIMEIRA,109.0,457.0,13785897.08794943,2019
LONDRINA,5.0,1637.0,21599786.119360276,2019
LOUVEIRA,10.0,33.0,16064221.354042374,2019
MACAPÁ,442.0,501.0,11434726.098069131,2019
MACAÉ,242.0,181.0,15093203.008879064,2019
MACEIÓ,764.0,773.0,23411869.48238186,2019
MANAUS,1430.0,2730.0,84867423.37470977,2019
MARABÁ,289.0,218.0,11417650.048768053,2019
MARICÁ,152.0,108.0,37522727.460363105,2019
MARINGÁ,17.0,927.0,19311874.789345358,2019
MAUÁ,138.0,872.0,16282604.678370355,2019
MOGI DAS CRUZES,224.0,1067.0,16220410.120865721,2019
NATAL,458.0,97.0,24855507.373550493,2019
NITERÓI,519.0,890.0,46553203.14480428,2019
NOVA IGUAÇU,792.0,664.0,17424682.238435216,2019
NOVA LIMA,71.0,0.0,11859912.930675639,2019
OSASCO,278.0,965.0,81923606.46293017,2019
PARAUAPEBAS,156.0,103.0,23035846.88047918,2019
PAULÍNIA,36.0,164.0,37374075.51977834,2019
PETRÓPOLIS,188.0,556.0,13643577.911592169,2019
PIRACICABA,196.0,822.0,27822629.80168596,2019
