municipio,total_vitima,total,PIB,ano
PONTA GROSSA,32.0,1235.0,15603393.781883521,2019
PORTO ALEGRE,1154.0,1043.0,82431477.59054267,2019
PORTO VELHO,549.0,1380.0,17912070.136804778,2019
RECIFE,1249.0,1244.0,54691223.45473439,2019
RIBEIRÃO PRETO,286.0,912.0,35355226.78875511,2019
RIO DE JANEIRO,6508.0,8474.0,354981483.80318886,2019
RONDONÓPOLIS,163.0,350.0,11342557.912848787,2019
SALVADOR,1522.0,724.0,63804120.22743949,2019
SANTO ANDRÉ,229.0,847.0,30339076.38022708,2019
SANTOS,223.0,1056.0,22753121.08451797,2019
SERRA,613.0,0.0,25865233.648945972,2019
SOROCABA,348.0,4336.0,37283417.564195335,2019
SUMARÉ,103.0,356.0,14844491.039280944,2019
SUZANO,167.0,319.0,12040336.754995896,2019
SÃO BERNARDO DO CAMPO,238.0,1144.0,51066927.746801764,2019
SÃO CAETANO DO SUL,42.0,74.0,13705940.672815036,2019
SÃO CARLOS,133.0,644.0,11801092.849055676,2019
SÃO GONÇALO,858.0,634.0,18351499.71770173,2019
SÃO JOSÉ DO RIO PRETO,270.0,2393.0,18776620.861578755,2019
SÃO JOSÉ DOS CAMPOS,308.0,854.0,43457370.43976764,2019
SÃO JOSÉ DOS PINHAIS,34.0,736.0,29962690.512497682,2019
SÃO LUÍS,488.0,1031.0,32103746.49070975,2019
SÃO PAULO,4205.0,15445.0,763805984.798037,2019
TAUBATÉ,208.0,623.0,18357171.81901988,2019
TERESINA,612.0,82.0,22017655.090719223,2019
UBERABA,141.0,0.0,15541490.559581844,2019
UBERLÂNDIA,274.0,0.0,37628200.6787665,2019
VILA VELHA,457.0,0.0,12859638.21107798,2019
VITÓRIA,331.0,0.0,21614893.396803647,2019
