municipio,total_vitima,total,PIB,ano
AMERICANA,81.0,276.0,12078626.873817097,2020
ANÁPOLIS,205.0,232.0,15286792.207791764,2020
APARECIDA DE GOIÂNIA,311.0,293.0,14856018.566171179,2020
ARACAJU,557.0,542.0,16447105.17840166,2020
ARAUCÁRIA,90.0,363.0,19724416.419356115,2020
BARUERI,87.0,202.0,51254571.96166578,2020
BAURU,153.0,645.0,15180212.05610693,2020
BELO HORIZONTE,1102.0,0.0,97509893.33748823,2020
BELÉM,684.0,602.0,30835763.44854164,2020
BETIM,243.0,17.0,26185005.421948433,2020
BLUMENAU,131.0,212.0,17783621.331089452,2020
BRASÍLIA,1714.0,19.0,265847334.00269997,2020
CAJAMAR,45.0,78.0,20798646.10709516,2020
CAMAÇARI,312.0,73.0,25697266.430629723,2020
CAMPINAS,546.0,1072.0,65419716.816195056,2020
CAMPO GRANDE,861.0,2216.0,30121789.021901634,2020
CAMPOS DOS GOYTACAZES,434.0,421.0,23841836.920491736,2020
CANAÃ DOS CARAJÁS,42.0,25.0,22522725.434632096,2020
CANOAS,230.0,199.0,18466102.706868976,2020
CASCAVEL,322.0,596.0,14155106.003027014,2020
CAXIAS DO SUL,328.0,263.0,25965161.31006018,2020
CHAPECÓ,125.0,348.0,11954531.656410586,2020
CONTAGEM,342.0,26.0,29558093.793138266,2020
COTIA,102.0,333.0,14039984.342264552,2020
CUBATÃO,111.0,174.0,15918912.9121324,2020
CUIABÁ,381.0,354.0,26528838.587775633,2020
CURITIBA,657.0,5372.0,88308728.39772616,2020
DIADEMA,168.0,411.0,15057234.758183902,2020
DUQUE DE CAXIAS,742.0,492.0,47153673.07983265,2020
EMBU DAS ARTES,132.0,220.0,13834413.392014926,2020
FEIRA DE SANTANA,774.0,139.0,15153238.588112375,2020
FLORIANÓPOLIS,304.0,649.0,21312446.729968634,2020
FORTALEZA,2068.0,0.0,65160893.25910117,2020
FOZ DO IGUAÇU,213.0,1021.0,17883003.393316865,2020
GOIÂNIA,792.0,748.0,51961311.268341675,2020
GUARULHOS,463.0,582.0,65849310.901887864,2020
HORTOLÂNDIA,93.0,184.0,15549704.421640035,2020
INDAIATUBA,61.0,167.0,18344473.03465551,2020
IPOJUCA,120.0,105.0,13614273.192537885,2020
ITAJAÍ,130.0,291.0,33084145.278867826,2020
ITAPEVI,79.0,259.0,12584181.04840984,2020
JABOATÃO DOS GUARARAPES,619.0,314.0,13295776.814544696,2020
JACAREÍ,169.0,326.0,14114972.368290525,2020
JOINVILLE,248.0,612.0,36391911.69994266,2020
JOÃO PESSOA,754.0,20.0,20766550.519102946,2020
JUIZ DE FORA,221.0,0.0,16868839.88835003,2020
JUNDIAÍ,139.0,311.0,51235049.6444325,2020
LIMEIRA,86.0,369.0,13702173.363646436,2020
LONDRINA,202.0,1125.0,21729851.834393937,2020
LOUVEIRA,20.0,17.0,17852711.725818876,2020
MACAÉ,382.0,84.0,15328853.230215058,2020
MACEIÓ,910.0,581.0,22872755.759962816,2020
MANAUS,1143.0,2302.0,91768773.49138089,2020
MARABÁ,231.0,205.0,12930110.23705314,2020
MARICÁ,158.0,62.0,35618326.72390776,2020
MARINGÁ,159.0,669.0,20005630.4071434,2020
MAUÁ,155.0,551.0,17127382.575824887,2020
MOGI DAS CRUZES,230.0,561.0,16964026.510030195,2020
NATAL,580.0,449.0,22729772.83166259,2020
NITERÓI,343.0,511.0,40949495.051960155,2020
NOVA IGUAÇU,565.0,458.0,17202970.349809546,2020
NOVA LIMA,45.0,31.0,12211281.707476852,2020
OSASCO,275.0,473.0,76311813.7173239,2020
PARANAGUÁ,104.0,156.0,12069502.655721765,2020
PARAUAPEBAS,171.0,107.0,38014863.230426736,2020
PAULÍNIA,26.0,76.0,38572765.94732879,2020
PETRÓPOLIS,174.0,340.0,15390936.233728526,2020
PIRACICABA,149.0,466.0,27172816.84921493,2020
PONTA GROSSA,99.0,1082.0,17274712.906335212,2020
PORTO ALEGRE,744.0,1100.0,76074563.08063515,2020
PORTO VELHO,638.0,1676.0,19448762.10936219,2020
RECIFE,1343.0,965.0,50311001.53577961,2020
RIBEIRÃO PRETO,305.0,732.0,35218869.1997338,2020
RIO DE JANEIRO,4190.0,5003.0,331279902.0270585,2020
RIO VERDE,143.0,248.0,11872210.703433286,2020
RONDONÓPOLIS,175.0,438.0,12850051.725183811,2020
SALVADOR,1606.0,559.0,58938115.1027799,2020
SANTO ANDRÉ,222.0,500.0,29440476.661768727,2020
SANTOS,216.0,404.0,22073535.214106858,2020
SAQUAREMA,80.0,67.0,15156885.514271935,2020
SERRA,607.0,161.0,25079657.168156713,2020
SOROCABA,313.0,1875.0,36723769.352316596,2020
SUMARÉ,123.0,131.0,13751004.434333561,2020
SUZANO,114.0,266.0,12674723.10338562,2020
SÃO BERNARDO DO CAMPO,265.0,704.0,48614342.054154284,2020
SÃO CAETANO DO SUL,18.0,103.0,13960695.306078022,2020
SÃO CARLOS,101.0,287.0,12139151.802736327,2020
SÃO FRANCISCO DO CONDE,26.0,2.0,11926908.492601177,2020
SÃO GONÇALO,693.0,329.0,19002883.19429508,2020
SÃO JOSÉ DO RIO PRETO,231.0,1773.0,18694213.289746813,2020
SÃO JOSÉ DOS CAMPOS,273.0,456.0,39148011.81921729,2020
SÃO JOSÉ DOS PINHAIS,210.0,783.0,21975611.64077531,2020
SÃO LUÍS,523.0,680.0,33074009.802195642,2020
SÃO PAULO,3907.0,9613.0,748759006.9648378,2020
TAUBATÉ,175.0,414.0,14906023.319714319,2020
TERESINA,601.0,87.0,21578875.011273794,2020
UBERABA,122.0,0.0,17190844.76369327,2020
UBERLÂNDIA,219.0,718.0,37631536.83887141,2020
VILA VELHA,598.0,182.0,12590914.527885184,2020
VITÓRIA,428.0,117.0,25473898.305662453,2020
