municipio,total_vitima,total,PIB,ano
AMERICANA,87.0,447.0,10382872.903121887,2017
ANGRA DOS REIS,318.0,198.0,10099365.041139936,2017
ANÁPOLIS,404.0,164.0,14204319.164324574,2017
APARECIDA DE GOIÂNIA,468.0,49.0,12882843.584106982,2017
ARACAJU,510.0,0.0,16373280.05317716,2017
ARAUCÁRIA,41.0,253.0,16972344.97523229,2017
BARUERI,132.0,376.0,47553588.85803549,2017
BAURU,183.0,780.0,13771752.863582533,2017
BELO HORIZONTE,1595.0,0.0,88951167.80480842,2017
BELÉM,1318.0,19.0,30238483.961201333,2017
BETIM,517.0,0.0,23088152.505627036,2017
BLUMENAU,149.0,252.0,16008743.976186182,2017
BRASÍLIA,1986.0,54.0,244682756.473638,2017
CABO DE SANTO AGOSTINHO,253.0,140.0,9964400.689722175,2017
CAJAMAR,38.0,131.0,15003190.666471904,2017
CAMAÇARI,376.0,119.0,23103227.39016328,2017
CAMPINAS,658.0,1507.0,59053563.02329996,2017
CAMPO GRANDE,1008.0,3197.0,27034851.035304446,2017
CAMPOS DOS GOYTACAZES,548.0,445.0,21088776.670642827,2017
CANOAS,383.0,73.0,18947513.37520006,2017
CASCAVEL,181.0,650.0,11374860.961429564,2017
CAXIAS DO SUL,382.0,70.0,21717020.23594278,2017
CONTAGEM,605.0,0.0,28988053.323117014,2017
COTIA,145.0,299.0,11573369.379787957,2017
CUBATÃO,164.0,136.0,12336913.497486478,2017
CUIABÁ,549.0,27.0,23301195.038160022,2017
CURITIBA,440.0,3317.0,84702356.71983801,2017
DIADEMA,165.0,422.0,13412702.568493867,2017
DUQUE DE CAXIAS,1557.0,632.0,40892161.05261678,2017
EMBU DAS ARTES,133.0,342.0,11713048.882505834,2017
FEIRA DE SANTANA,669.0,235.0,13657295.097184332,2017
FLORIANÓPOLIS,392.0,243.0,19512519.361529194,2017
FORTALEZA,3014.0,0.0,61579403.17210447,2017
FOZ DO IGUAÇU,121.0,633.0,13463838.397271782,2017
GOIÂNIA,1191.0,120.0,49023142.355684936,2017
GRAVATAÍ,431.0,52.0,12406079.325398803,2017
GUARULHOS,497.0,1200.0,55743649.99783846,2017
HORTOLÂNDIA,117.0,133.0,12928627.510413978,2017
INDAIATUBA,53.0,505.0,13489932.182961803,2017
IPOJUCA,150.0,37.0,10879738.744854538,2017
ITAJAÍ,203.0,107.0,21913882.09951106,2017
ITAPEVI,110.0,344.0,11597556.687788377,2017
JABOATÃO DOS GUARARAPES,482.0,297.0,13545568.84853223,2017
JACAREÍ,160.0,388.0,11696354.377592076,2017
JAGUARIÚNA,13.0,56.0,11346027.890883515,2017
JOINVILLE,403.0,463.0,27378204.9577805,2017
JOÃO PESSOA,922.0,594.0,19737916.962981723,2017
JUIZ DE FORA,394.0,0.0,15985711.931138577,2017
JUNDIAÍ,175.0,426.0,41227952.94657855,2017
LIMEIRA,107.0,566.0,12154751.49243189,2017
LONDRINA,99.0,1207.0,19235187.722013775,2017
LOUVEIRA,15.0,57.0,13805962.302030165,2017
MACAPÁ,452.0,715.0,9994877.202840105,2017
MACAÉ,318.0,131.0,15371353.000583015,2017
MACEIÓ,928.0,219.0,21827916.59638359,2017
MANAUS,1606.0,1968.0,73201651.24829154,2017
MARICÁ,132.0,87.0,11438880.39826701,2017
MARINGÁ,46.0,783.0,16906177.369648658,2017
MAUÁ,151.0,503.0,16286408.566275839,2017
MOGI DAS CRUZES,170.0,721.0,14470622.98486783,2017
NATAL,800.0,105.0,23454682.580415644,2017
NITERÓI,410.0,885.0,27471324.0474245,2017
NOVA IGUAÇU,1307.0,610.0,16833644.449253634,2017
OSASCO,338.0,824.0,77910495.94658491,2017
PARAUAPEBAS,141.0,37.0,18431904.39691815,2017
PAULÍNIA,40.0,188.0,35346489.874611795,2017
PETRÓPOLIS,237.0,637.0,12811831.46267872,2017
PIRACICABA,207.0,775.0,21896871.501366835,2017
PONTA GROSSA,71.0,704.0,14533644.789307736,2017
PORTO ALEGRE,1895.0,1256.0,73862305.9526552,2017
PORTO VELHO,787.0,380.0,16514535.198033959,2017
RECIFE,1027.0,1170.0,51859618.33338419,2017
RIBEIRÃO PRETO,224.0,1018.0,35315843.18100431,2017
RIO DE JANEIRO,8116.0,5815.0,337594461.6656134,2017
SALVADOR,2102.0,1084.0,62717483.40068963,2017
SANTO ANDRÉ,208.0,683.0,27470680.40421385,2017
SANTOS,225.0,1048.0,22532671.80140431,2017
SERRA,433.0,0.0,18538694.99821522,2017
SOROCABA,298.0,3069.0,31852858.425992917,2017
SUMARÉ,137.0,166.0,13744576.160024205,2017
SUZANO,151.0,371.0,10761082.009057494,2017
SÃO BERNARDO DO CAMPO,302.0,1412.0,44680389.36596204,2017
SÃO CAETANO DO SUL,43.0,117.0,13106958.707025025,2017
SÃO CARLOS,104.0,543.0,10475654.557686124,2017
SÃO FRANCISCO DO CONDE,40.0,1.0,10211680.17981975,2017
SÃO GONÇALO,1129.0,617.0,17225904.034175735,2017
SÃO JOSÉ,145.0,85.0,10131012.587157112,2017
SÃO JOSÉ DO RIO PRETO,206.0,1022.0,16493968.03488685,2017
SÃO JOSÉ DOS CAMPOS,288.0,802.0,39829403.90803072,2017
