municipio,total_vitima,total,PIB,ano
SÃO JOSÉ DOS PINHAIS,132.0,330.0,22581192.463129207,2017
SÃO LUÍS,812.0,1096.0,29727649.883484513,2017
SÃO PAULO,4365.0,14838.0,699288352.2119498,2017
TAUBATÉ,160.0,405.0,16799723.43080454,2017
TERESINA,770.0,0.0,19113869.983799994,2017
TRÊS LAGOAS,146.0,181.0,10131704.502777753,2017
UBERABA,185.0,0.0,13152650.56798698,2017
UBERLÂNDIA,345.0,0.0,34201961.8013532,2017
VILA VELHA,241.0,0.0,10994893.759698428,2017
VITÓRIA,161.0,0.0,20255652.094057165,2017
VOLTA REDONDA,229.0,233.0,11304596.110631453,2017
